"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
AVC;987.16;31.42;59.24;0.64
AVC;1248.07;32.78;68.01;0.71
AVC;1492.22;33.75;74.21;0.77
AVC;1743.71;34.47;78.71;0.82
AVC;1988.22;35.12;82.64;0.87
AVC;2232.21;35.63;85.54;0.91
AVC;2479.51;36.13;88.23;0.95
AVC;2717.78;36.54;90.29;1.02
AVC;2957.70;36.88;91.96;1.06
AVC;3204.93;37.21;93.42;1.09
AVC;3435.17;37.51;94.74;1.13
HEVC;969.00;34.51;78.30;7.58
HEVC;1213.70;35.40;83.54;8.29
HEVC;1450.14;36.10;87.25;9.00
HEVC;1696.43;36.68;90.1;9.44
HEVC;1940.59;37.16;92.49;9.97
HEVC;2179.43;37.56;94.2;10.45
HEVC;2437.14;37.93;95.64;10.63
HEVC;2701.18;38.26;96.75;11.08
HEVC;2900.69;38.49;97.35;11.49
HEVC;3185.93;38.77;98.21;11.84
HEVC;3382.29;38.96;98.57;12.14
AOM;1111.3;36.38;87.12;17.48
AOM;1363.9;37.11;90.79;18.98
AOM;1605.1;37.65;93.25;20.56
AOM;1846.0;38.10;95.20;21.84
AOM;2095.3;38.49;96.70;22.97
AOM;2336.4;38.82;97.8;24.64
AOM;2579.0;39.11;98.66;26.09
AOM;2829.2;39.36;99.2;27.56
AOM;3065.1;39.59;99.63;28.23
AOM;3309.4;39.79;99.86;30.44
AOM;3536.3;39.96;99.93;31.58
SVTAV1;965.73;34.97;78.99;29.80
SVTAV1;1205.48;35.85;83.9;31.81
SVTAV1;1449.27;36.54;87.58;34.30
SVTAV1;1680.15;37.08;90.2;35.54
SVTAV1;1911.87;37.54;92.43;37.12
SVTAV1;2143.12;37.94;94.19;37.66
SVTAV1;2382.32;38.31;95.77;39.64
SVTAV1;2607.44;38.61;96.93;41.27
SVTAV1;2845.18;38.90;97.97;43.09
SVTAV1;3081.16;39.15;98.73;44.22
SVTAV1;3331.45;39.39;99.27;45.71
